2023-07-12T04:43:52    Etacha4 (GUI)      (C) INSP-ASUR JPR  + MSU  03/2017     (file "eUntitled")
*****************************************************************************************
PROJECTILE: atomic number=  20  incident charge=  10  atomic mass=  48
    TARGET: atomic number=   3      atomic mass=   7      density= 0.530 g/cm3
          incident energy=  28.000 MeV/u  velocity=  32.864 (au)
           relative error=1e-05 absolute error=1e-12
  Energy loss: S1=   7.419 MeV/mg/cm2 at E1=  28.000 MeV/u 
          and: S2=   7.451 MeV/mg/cm2 at E2=  27.845 MeV/u 

Reference ('hydrogenic') cross sections in 10E-20 cm2:
  CAPTURE (MEC+REC) TO:   1s = 8.070e-03  2s = 1.306e-03  2p = 1.773e-03
                          3s = 3.606e-04  3p = 4.464e-04  3d = 6.856e-04   (n=4) = 0.000e+00
  IONIZATION OF:          1s = 9.697e-01  2s = 6.443e+00  2p = 7.367e+00
                          3s = 2.884e+01  3p = 3.056e+01  3d = 3.346e+01   (n=4) = 0.000e+00
1s EXCITATION TO:         2s = 9.079e-02  2p = 7.928e-01
                          3s = 1.813e-02  3p = 1.399e-01  3d = 1.159e-02   (n=4) = 0.000e+00
2s EXCITATION TO:         3s = 9.099e-01  3p = 2.979e+00  3d = 3.047e+00   (n=4) = 0.000e+00
2p EXCITATION TO:         3s = 1.258e-01  3p = 1.033e+00  3d = 7.385e+00   (n=4) = 0.000e+00
EXCITATION To n=4 from:   3s = 0.000e+00  3p = 0.000e+00  3d = 0.000e+00
INTRASHELL EXCITATION:    2s to 2p = 1.717e+01      3s to 3p = 4.502e+01
********************************************************************************************************
Tar.thick.     0e-       1e-       2e-       3e-       4e-       5e-       6e-       7e-       8e-       9e-      E_out
 (ug/cm2)    (20e+)    (19e+)    (18e+)    (17e+)    (16e+)    (15e+)    (14e+)    (13e+)    (12e+)    (11e+)     MeV/u
********************************************************************************************************

     5.00   0.00000   0.00000   0.00000   0.00021   0.00484   0.06757   0.61118   3.64302  13.99540  32.17646     28.000 
    10.00   0.00000   0.00001   0.00040   0.00893   0.10540   0.76035   3.58176  11.24831  23.25026  30.09541     27.998 
    15.00   0.00000   0.00008   0.00368   0.05793   0.47818   2.42212   8.05170  17.96814  26.68778  25.34812     27.998 
    20.00   0.00000   0.00046   0.01675   0.20375   1.29895   5.09108  13.12663  22.78976  26.45358  19.79070     27.997 
    25.00   0.00002   0.00178   0.05320   0.52437   2.70358   8.57539  17.91630  25.24743  23.84812  14.58273     27.996 
    30.00   0.00006   0.00523   0.13296   1.09516   4.70664  12.44661  21.69786  25.54213  20.19182  10.36714     27.995 
    35.00   0.00018   0.01267   0.28111   1.97641   7.23105  16.27855  24.17039  24.25561  16.37169   7.19661     27.995 
    40.00   0.00042   0.02659   0.52342   3.19342  10.11206  19.69882  25.31908  22.01013  12.88609   4.92468     27.994 
    45.00   0.00089   0.05010   0.88554   4.74718  13.17383  22.48479  25.32631  19.30520   9.92199   3.33544     27.993 
    50.00   0.00169   0.08670   1.38967   6.61066  16.23763  24.52196  24.44309  16.49654   7.51448   2.24290     27.992 
    55.00   0.00297   0.14021   2.05386   8.73848  19.14977  25.79137  22.92899  13.80756   5.61720   1.49974     27.991 
    60.00   0.00493   0.21452   2.89005  11.06945  21.78462  26.33706  21.01814  11.36600   4.15585   0.99869     27.991 
