2023-07-12T04:43:52    Etacha4 (GUI)      (C) INSP-ASUR JPR  + MSU  03/2017     (file "eUntitled")
*****************************************************************************************
PROJECTILE: atomic number=  20  incident charge=  10  atomic mass=  48
    TARGET: atomic number=   3      atomic mass=   7      density= 0.530 g/cm3
          incident energy=  28.000 MeV/u  velocity=  32.864 (au)
           relative error=1e-05 absolute error=1e-12
  Energy loss: S1=   7.419 MeV/mg/cm2 at E1=  28.000 MeV/u 
          and: S2=   7.451 MeV/mg/cm2 at E2=  27.845 MeV/u 

Reference ('hydrogenic') cross sections in 10E-20 cm2:
  CAPTURE (MEC+REC) TO:   1s = 8.070e-03  2s = 1.306e-03  2p = 1.773e-03
                          3s = 3.606e-04  3p = 4.464e-04  3d = 6.856e-04   (n=4) = 0.000e+00
  IONIZATION OF:          1s = 9.697e-01  2s = 6.443e+00  2p = 7.367e+00
                          3s = 2.884e+01  3p = 3.056e+01  3d = 3.346e+01   (n=4) = 0.000e+00
1s EXCITATION TO:         2s = 9.079e-02  2p = 7.928e-01
                          3s = 1.813e-02  3p = 1.399e-01  3d = 1.159e-02   (n=4) = 0.000e+00
2s EXCITATION TO:         3s = 9.099e-01  3p = 2.979e+00  3d = 3.047e+00   (n=4) = 0.000e+00
2p EXCITATION TO:         3s = 1.258e-01  3p = 1.033e+00  3d = 7.385e+00   (n=4) = 0.000e+00
EXCITATION To n=4 from:   3s = 0.000e+00  3p = 0.000e+00  3d = 0.000e+00
INTRASHELL EXCITATION:    2s to 2p = 1.717e+01      3s to 3p = 4.502e+01
********************************************************************************************************
Tar.thick.    20e-      21e-      22e-      23e-      24e-      25e-      26e-      27e-      28e-      29e-      E_out
 (ug/cm2)    ( 0e+)    (-1e+)    (-2e+)    (-3e+)    (-4e+)    (-5e+)    (-6e+)    (-7e+)    (-8e+)    (-9e+)     MeV/u
********************************************************************************************************

     5.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     28.000 
    10.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.998 
    15.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.998 
    20.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.997 
    25.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.996 
    30.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.995 
    35.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.995 
    40.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.994 
    45.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.993 
    50.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.992 
    55.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.991 
    60.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.991 
    65.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.991 
    70.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.989 
    75.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.989 
    80.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.988 
    85.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.988 
    90.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.986 
    95.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.986 
   100.00   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000     27.985 
