2023-07-12T04:43:52    Etacha4 (GUI)      (C) INSP-ASUR JPR  + MSU  03/2017     (file "eUntitled")
*****************************************************************************************
PROJECTILE: atomic number=  20  incident charge=  10  atomic mass=  48
    TARGET: atomic number=   3      atomic mass=   7      density= 0.530 g/cm3
          incident energy=  28.000 MeV/u  velocity=  32.864 (au)
           relative error=1e-05 absolute error=1e-12
  Energy loss: S1=   7.419 MeV/mg/cm2 at E1=  28.000 MeV/u 
          and: S2=   7.451 MeV/mg/cm2 at E2=  27.845 MeV/u 

Reference ('hydrogenic') cross sections in 10E-20 cm2:
  CAPTURE (MEC+REC) TO:   1s = 8.070e-03  2s = 1.306e-03  2p = 1.773e-03
                          3s = 3.606e-04  3p = 4.464e-04  3d = 6.856e-04   (n=4) = 0.000e+00
  IONIZATION OF:          1s = 9.697e-01  2s = 6.443e+00  2p = 7.367e+00
                          3s = 2.884e+01  3p = 3.056e+01  3d = 3.346e+01   (n=4) = 0.000e+00
1s EXCITATION TO:         2s = 9.079e-02  2p = 7.928e-01
                          3s = 1.813e-02  3p = 1.399e-01  3d = 1.159e-02   (n=4) = 0.000e+00
2s EXCITATION TO:         3s = 9.099e-01  3p = 2.979e+00  3d = 3.047e+00   (n=4) = 0.000e+00
2p EXCITATION TO:         3s = 1.258e-01  3p = 1.033e+00  3d = 7.385e+00   (n=4) = 0.000e+00
EXCITATION To n=4 from:   3s = 0.000e+00  3p = 0.000e+00  3d = 0.000e+00
INTRASHELL EXCITATION:    2s to 2p = 1.717e+01      3s to 3p = 4.502e+01
********************************************************************************************************

T (ug/cm2)  bare    1s     2s     2p    1s²    1s2s   1s2p  1s²2s  1s²2p   tot
********************************************************************************************************

     5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
    10.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.01   0.01
    15.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.02   0.05   0.08
    20.00   0.00   0.00   0.00   0.00   0.02   0.00   0.01   0.07   0.18   0.27
    25.00   0.00   0.00   0.00   0.00   0.05   0.01   0.02   0.17   0.44   0.69
    30.00   0.00   0.01   0.00   0.00   0.12   0.02   0.05   0.34   0.89   1.43
    35.00   0.00   0.02   0.00   0.00   0.25   0.04   0.09   0.61   1.58   2.58
    40.00   0.00   0.03   0.00   0.00   0.47   0.06   0.16   0.96   2.50   4.19
    45.00   0.00   0.06   0.00   0.00   0.79   0.10   0.25   1.40   3.67   6.28
    50.00   0.00   0.10   0.00   0.01   1.24   0.15   0.38   1.93   5.04   8.85
    55.00   0.00   0.16   0.00   0.01   1.82   0.21   0.53   2.51   6.60  11.86
    60.00   0.01   0.25   0.01   0.02   2.56   0.28   0.71   3.15   8.27  15.25
    65.00   0.01   0.36   0.01   0.02   3.47   0.37   0.92   3.82  10.05  19.04
    70.00   0.01   0.50   0.01   0.03   4.51   0.46   1.15   4.48  11.81  22.97
    75.00   0.02   0.67   0.02   0.04   5.73   0.56   1.41   5.13  13.58  27.15
    80.00   0.03   0.88   0.02   0.05   7.05   0.66   1.67   5.75  15.24  31.34
    85.00   0.04   1.13   0.03   0.06   8.52   0.77   1.95   6.33  16.82  35.65
    90.00   0.05   1.41   0.03   0.07  10.09   0.88   2.22   6.85  18.25  39.86
